"URL","school","Term","Department","Course","book","author","editon","publisher","ISBN-13","ISBN-10","image link","is_required","price"
,,"Spring 2024  • "," ","MACAT 524 B RESEARCH METHODS IN ART T • ","Research Design 5TH 18","Creswell, John W.","5TH 18","Sage Publications, Inc.","978-1bogus-5063-8670-6","1-506bogus3-8670-9","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1506386709.gif","Required",""
,,"Spring 2024  • "," ","MACAT 524 B RESEARCH METHODS IN ART T • ","Introduction to Art Therapy Research 2ND 18","Kapitan, Lynn","2ND 18","Routledge N. Y.","978-1bogus-138-91285-4","1-138bogus-91285-9","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M001860082.gif","Required","$51.50"
,,"Spring 2024  • "," ","MACAT 524 B RESEARCH METHODS IN ART T • ","Understanding Critical Race Research Methods and Methodologies 2019","Decuir-Gunby, J. / Chapman, T. / Schutz, P. (Eds.)","2019","Routledge N. Y.","978-1bogus-138-29470-7","1-138bogus-29470-5","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M002272451.gif","Optional","$51.50"
,,"Spring 2024  • "," ","MACAT 524 C RESEARCH METHODS IN ART T • ","Research Design 5TH 18","Creswell, John W.","5TH 18","Sage Publications, Inc.","978-1bogus-5063-8670-6","1-506bogus3-8670-9","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1506386709.gif","Required",""
,,"Spring 2024  • "," ","MACAT 524 C RESEARCH METHODS IN ART T • ","Introduction to Art Therapy Research 2ND 18","Kapitan, Lynn","2ND 18","Routledge N. Y.","978-1bogus-138-91285-4","1-138bogus-91285-9","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M001860082.gif","Required","$51.50"
,,"Spring 2024  • "," ","MACAT 524 C RESEARCH METHODS IN ART T • ","Understanding Critical Race Research Methods and Methodologies 2019","Decuir-Gunby, J. / Chapman, T. / Schutz, P. (Eds.)","2019","Routledge N. Y.","978-1bogus-138-29470-7","1-138bogus-29470-5","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M002272451.gif","Optional","$51.50"
,,"Spring 2024  • "," ","MACAT 526 A ASSESSMENT &APPRAISAL IN • ","Screening Children for Brain Impairment 3RD 10","Franzen, Michael D.","3RD 10","Springer Publishing Co.","978-0bogus-8261-1075-6","0-826bogus1-1075-4","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0826110754.gif","Required",""
,,"Spring 2024  • "," ","MACAT 526 A ASSESSMENT &APPRAISAL IN • ","Expressive Therapies Continuum 2ND 20","Hinz, Lisa D.","2ND 20","Routledge N. Y.","978-0bogus-367-28042-0","0-367bogus-28042-6","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0367280426.gif","Required","$51.50"
,,"Spring 2024  • "," ","MACAT 526 A ASSESSMENT &APPRAISAL IN • ","Art Therapists' Primer: A Clinical Guide to Writing Assessments, Diagnosis, and Treatment 3RD 20","Horovitz, Ellen G.","3RD 20","Charles C. Thomas, Publisher","978-0bogus-398-09338-9","0-398bogus-09338-5","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M005510652.gif","Required","$44.75$59.50"
,,"Spring 2024  • "," ","MACAT 526 A ASSESSMENT &APPRAISAL IN • ","Therapist's Workbook 2ND 12","Kottler, Jeffrey A.","2ND 12","Jossey-Bass, Inc.","978-1bogus-118-02631-1","1-118bogus-02631-4","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1118026314.gif","Required","$37.25$49.50"
,,"Spring 2024  • "," ","MACAT 526 A ASSESSMENT &APPRAISAL IN • ","Principles and Application of Assessment in Counseling (Hardback) 5TH 17","Whiston, Susan C.","5TH 17","Cengage Learning","978-1bogus-305-27148-7","1-305bogus-27148-3","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1305271483.gif","Required","$176.00$234.75"
,,"Spring 2024  • "," ","MACAT 526 A ASSESSMENT &APPRAISAL IN • ","Children's Drawings as Diagnostic Aids 1973","DILEO","1973","Brunner/Mazel, Inc.","978-0bogus-87630-249-1","0-876bogus30-249-5","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0876302495.gif","Optional","$56.75"
,,"Spring 2024  • "," ","MACAT 526 A ASSESSMENT &APPRAISAL IN • ","Assessment in Art Therapy 2012","Gilroy, Andrea (Ed.)","2012","Routledge N. Y.","978-0bogus-415-56796-1","0-415bogus-56796-3","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0415567963.gif","Optional","$35.75$47.75"
,,"Spring 2024  • "," ","MACAT 526 B ASSESSMENT &APPRAISAL IN • ","Screening Children for Brain Impairment 3RD 10","Franzen, Michael D.","3RD 10","Springer Publishing Co.","978-0bogus-8261-1075-6","0-826bogus1-1075-4","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0826110754.gif","Required",""
,,"Spring 2024  • "," ","MACAT 526 B ASSESSMENT &APPRAISAL IN • ","Expressive Therapies Continuum 2ND 20","Hinz, Lisa D.","2ND 20","Routledge N. Y.","978-0bogus-367-28042-0","0-367bogus-28042-6","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0367280426.gif","Required","$51.50"
,,"Spring 2024  • "," ","MACAT 526 B ASSESSMENT &APPRAISAL IN • ","Art Therapists' Primer: A Clinical Guide to Writing Assessments, Diagnosis, and Treatment 3RD 20","Horovitz, Ellen G.","3RD 20","Charles C. Thomas, Publisher","978-0bogus-398-09338-9","0-398bogus-09338-5","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M005510652.gif","Required","$44.75$59.50"
,,"Spring 2024  • "," ","MACAT 526 B ASSESSMENT &APPRAISAL IN • ","Therapist's Workbook 2ND 12","Kottler, Jeffrey A.","2ND 12","Jossey-Bass, Inc.","978-1bogus-118-02631-1","1-118bogus-02631-4","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1118026314.gif","Required","$37.25$49.50"
,,"Spring 2024  • "," ","MACAT 526 B ASSESSMENT &APPRAISAL IN • ","Principles and Application of Assessment in Counseling (Hardback) 5TH 17","Whiston, Susan C.","5TH 17","Cengage Learning","978-1bogus-305-27148-7","1-305bogus-27148-3","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1305271483.gif","Required","$176.00$234.75"
,,"Spring 2024  • "," ","MACAT 526 B ASSESSMENT &APPRAISAL IN • ","Children's Drawings as Diagnostic Aids 1973","DILEO","1973","Brunner/Mazel, Inc.","978-0bogus-87630-249-1","0-876bogus30-249-5","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0876302495.gif","Optional","$56.75"
,,"Spring 2024  • "," ","MACAT 526 B ASSESSMENT &APPRAISAL IN • ","Assessment in Art Therapy 2012","Gilroy, Andrea (Ed.)","2012","Routledge N. Y.","978-0bogus-415-56796-1","0-415bogus-56796-3","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0415567963.gif","Optional","$35.75$47.75"
,,"Spring 2024  • "," ","MACAT 526 C ASSESSMENT &APPRAISAL IN • ","Screening Children for Brain Impairment 3RD 10","Franzen, Michael D.","3RD 10","Springer Publishing Co.","978-0bogus-8261-1075-6","0-826bogus1-1075-4","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0826110754.gif","Required",""
,,"Spring 2024  • "," ","MACAT 526 C ASSESSMENT &APPRAISAL IN • ","Expressive Therapies Continuum 2ND 20","Hinz, Lisa D.","2ND 20","Routledge N. Y.","978-0bogus-367-28042-0","0-367bogus-28042-6","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0367280426.gif","Required","$51.50"
,,"Spring 2024  • "," ","MACAT 526 C ASSESSMENT &APPRAISAL IN • ","Art Therapists' Primer: A Clinical Guide to Writing Assessments, Diagnosis, and Treatment 3RD 20","Horovitz, Ellen G.","3RD 20","Charles C. Thomas, Publisher","978-0bogus-398-09338-9","0-398bogus-09338-5","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M005510652.gif","Required","$44.75$59.50"
,,"Spring 2024  • "," ","MACAT 526 C ASSESSMENT &APPRAISAL IN • ","Therapist's Workbook 2ND 12","Kottler, Jeffrey A.","2ND 12","Jossey-Bass, Inc.","978-1bogus-118-02631-1","1-118bogus-02631-4","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1118026314.gif","Required","$37.25$49.50"
,,"Spring 2024  • "," ","MACAT 526 C ASSESSMENT &APPRAISAL IN • ","Principles and Application of Assessment in Counseling (Hardback) 5TH 17","Whiston, Susan C.","5TH 17","Cengage Learning","978-1bogus-305-27148-7","1-305bogus-27148-3","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1305271483.gif","Required","$176.00$234.75"
,,"Spring 2024  • "," ","MACAT 526 C ASSESSMENT &APPRAISAL IN • ","Children's Drawings as Diagnostic Aids 1973","DILEO","1973","Brunner/Mazel, Inc.","978-0bogus-87630-249-1","0-876bogus30-249-5","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0876302495.gif","Optional","$56.75"
,,"Spring 2024  • "," ","MACAT 526 C ASSESSMENT &APPRAISAL IN • ","Assessment in Art Therapy 2012","Gilroy, Andrea (Ed.)","2012","Routledge N. Y.","978-0bogus-415-56796-1","0-415bogus-56796-3","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0415567963.gif","Optional","$35.75$47.75"
,,"Spring 2024  • "," ","MACAT 527 A PROFESSIONAL DEVELOPMENT • ","Ethics in Art Therapy: Challenging Topics for a Complex Modality 2013","Furman, Lisa R.","2013","Jessica Kingsley Publishers","978-1bogus-84905-938-1","1-849bogus05-938-1","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1849059381.gif","Required","$27.00"
,,"Spring 2024  • "," ","MACAT 527 A PROFESSIONAL DEVELOPMENT • ","Ethical, Legal and Professional Issues in Counseling 6TH 20","Remley Jr., Theodore P. / Herlihy, Barbara P.","6TH 20","Pearson","978-0bogus-13-518381-6","0-13-bogus518381-2","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0135183812.gif","Required","$87.25"
,,"Spring 2024  • "," ","MACAT 527 B PROFESSIONAL DEVELOPMENT • ","Ethics in Art Therapy: Challenging Topics for a Complex Modality 2013","Furman, Lisa R.","2013","Jessica Kingsley Publishers","978-1bogus-84905-938-1","1-849bogus05-938-1","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1849059381.gif","Required","$27.00"
,,"Spring 2024  • "," ","MACAT 527 B PROFESSIONAL DEVELOPMENT • ","Ethical, Legal and Professional Issues in Counseling 6TH 20","Remley Jr., Theodore P. / Herlihy, Barbara P.","6TH 20","Pearson","978-0bogus-13-518381-6","0-13-bogus518381-2","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0135183812.gif","Required","$87.25"
,,"Spring 2024  • "," ","MACAT 527 C PROFESSIONAL DEVELOPMENT • ","Ethics in Art Therapy: Challenging Topics for a Complex Modality 2013","Furman, Lisa R.","2013","Jessica Kingsley Publishers","978-1bogus-84905-938-1","1-849bogus05-938-1","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1849059381.gif","Required","$27.00"
,,"Spring 2024  • "," ","MACAT 527 C PROFESSIONAL DEVELOPMENT • ","Ethical, Legal and Professional Issues in Counseling 6TH 20","Remley Jr., Theodore P. / Herlihy, Barbara P.","6TH 20","Pearson","978-0bogus-13-518381-6","0-13-bogus518381-2","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0135183812.gif","Required","$87.25"
,,"Spring 2024  • "," ","MACAT 652 A THEORIES &METHODS OF INTE • ","Cognitive-Behavioral Therapy with Couples and Families: A Comprehensive Guide for Clinicians 2010","Dattilio, Frank M.","2010","Guilford Press","978-1bogus-4625-1416-8","1-462bogus5-1416-2","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1462514162.gif","Required","$23.75"
,,"Spring 2024  • "," ","MACAT 652 A THEORIES &METHODS OF INTE • ","Family Art Therapy 2008","Kerr, Christine (Ed.)","2008","Routledge N. Y.","978-0bogus-415-95464-8","0-415bogus-95464-9","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0415954649.gif","Required","$114.75$153.00"
,,"Spring 2024  • "," ","MACAT 652 A THEORIES &METHODS OF INTE • ","Family Therapy: Concepts and Methods 11TH 17","Nichols, Michael P.","11TH 17","Pearson","978-0bogus-13-382660-9","0-13-bogus382660-0","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0133826600.gif","Required","$156.00"
,,"Spring 2024  • "," ","MACAT 652 A THEORIES &METHODS OF INTE • ","",,,,,,,"",""
,,"Spring 2024  • "," ","MACAT 652 A THEORIES &METHODS OF INTE • ","Adlerian Family Counseling: Manual for Counselor, Educator, and Psychotherapist 3RD 04","Christensen, Oscar C.","3RD 04","Educational Media Corporation","978-1bogus-930572-32-4","1-930bogus572-32-8","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M000752024.gif","Optional",""
,,"Spring 2024  • "," ","MACAT 652 A THEORIES &METHODS OF INTE • ","Systems of Family Therapy (Paperback) 2015","Dinkmeyer, Don","2015","Routledge N. Y.","978-1bogus-138-86904-2","1-138bogus-86904-X","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/113886904X.gif","Optional","$56.75"
,,"Spring 2024  • "," ","MACAT 652 A THEORIES &METHODS OF INTE • ","Ancestral Medicine 2017","Foor, Daniel","2017","Bear & Co. Publishing","978-1bogus-59143-269-2","1-591bogus43-269-3","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1591432693.gif","Optional","$18.00"
,,"Spring 2024  • "," ","MACAT 652 A THEORIES &METHODS OF INTE • ","It Didn't Start With You 2016","Wolynn, Mark","2016","Penguin Random House Llc","978-1bogus-101-98038-5","1-101bogus-98038-9","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1101980362.gif","Optional","$16.25"
,,"Spring 2024  • "," ","MACAT 652 B THEORIES &METHODS OF INTE • ","Cognitive-Behavioral Therapy with Couples and Families: A Comprehensive Guide for Clinicians 2010","Dattilio, Frank M.","2010","Guilford Press","978-1bogus-4625-1416-8","1-462bogus5-1416-2","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1462514162.gif","Required","$23.75"
,,"Spring 2024  • "," ","MACAT 652 B THEORIES &METHODS OF INTE • ","Family Art Therapy 2008","Kerr, Christine (Ed.)","2008","Routledge N. Y.","978-0bogus-415-95464-8","0-415bogus-95464-9","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0415954649.gif","Required","$114.75$153.00"
,,"Spring 2024  • "," ","MACAT 652 B THEORIES &METHODS OF INTE • ","Family Therapy: Concepts and Methods 11TH 17","Nichols, Michael P.","11TH 17","Pearson","978-0bogus-13-382660-9","0-13-bogus382660-0","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0133826600.gif","Required","$156.00"
,,"Spring 2024  • "," ","MACAT 652 B THEORIES &METHODS OF INTE • ","",,,,,,,"",""
,,"Spring 2024  • "," ","MACAT 652 B THEORIES &METHODS OF INTE • ","Adlerian Family Counseling: Manual for Counselor, Educator, and Psychotherapist 3RD 04","Christensen, Oscar C.","3RD 04","Educational Media Corporation","978-1bogus-930572-32-4","1-930bogus572-32-8","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M000752024.gif","Optional",""
,,"Spring 2024  • "," ","MACAT 652 B THEORIES &METHODS OF INTE • ","Systems of Family Therapy (Paperback) 2015","Dinkmeyer, Don","2015","Routledge N. Y.","978-1bogus-138-86904-2","1-138bogus-86904-X","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/113886904X.gif","Optional","$56.75"
,,"Spring 2024  • "," ","MACAT 652 B THEORIES &METHODS OF INTE • ","Ancestral Medicine 2017","Foor, Daniel","2017","Bear & Co. Publishing","978-1bogus-59143-269-2","1-591bogus43-269-3","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1591432693.gif","Optional","$18.00"
,,"Spring 2024  • "," ","MACAT 652 B THEORIES &METHODS OF INTE • ","It Didn't Start With You 2016","Wolynn, Mark","2016","Penguin Random House Llc","978-1bogus-101-98038-5","1-101bogus-98038-9","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1101980362.gif","Optional","$16.25"
,,"Spring 2024  • "," ","MACAT 652 C THEORIES &METHODS OF INTE • ","Cognitive-Behavioral Therapy with Couples and Families: A Comprehensive Guide for Clinicians 2010","Dattilio, Frank M.","2010","Guilford Press","978-1bogus-4625-1416-8","1-462bogus5-1416-2","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1462514162.gif","Required","$23.75"
,,"Spring 2024  • "," ","MACAT 652 C THEORIES &METHODS OF INTE • ","Family Art Therapy 2008","Kerr, Christine (Ed.)","2008","Routledge N. Y.","978-0bogus-415-95464-8","0-415bogus-95464-9","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0415954649.gif","Required","$114.75$153.00"
,,"Spring 2024  • "," ","MACAT 652 C THEORIES &METHODS OF INTE • ","Family Therapy: Concepts and Methods 11TH 17","Nichols, Michael P.","11TH 17","Pearson","978-0bogus-13-382660-9","0-13-bogus382660-0","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0133826600.gif","Required","$156.00"
,,"Spring 2024  • "," ","MACAT 652 C THEORIES &METHODS OF INTE • ","",,,,,,,"",""
,,"Spring 2024  • "," ","MACAT 652 C THEORIES &METHODS OF INTE • ","Adlerian Family Counseling: Manual for Counselor, Educator, and Psychotherapist 3RD 04","Christensen, Oscar C.","3RD 04","Educational Media Corporation","978-1bogus-930572-32-4","1-930bogus572-32-8","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M000752024.gif","Optional",""
,,"Spring 2024  • "," ","MACAT 652 C THEORIES &METHODS OF INTE • ","Systems of Family Therapy (Paperback) 2015","Dinkmeyer, Don","2015","Routledge N. Y.","978-1bogus-138-86904-2","1-138bogus-86904-X","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/113886904X.gif","Optional","$56.75"
,,"Spring 2024  • "," ","MACAT 652 C THEORIES &METHODS OF INTE • ","Ancestral Medicine 2017","Foor, Daniel","2017","Bear & Co. Publishing","978-1bogus-59143-269-2","1-591bogus43-269-3","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1591432693.gif","Optional","$18.00"
,,"Spring 2024  • "," ","MACAT 652 C THEORIES &METHODS OF INTE • ","It Didn't Start With You 2016","Wolynn, Mark","2016","Penguin Random House Llc","978-1bogus-101-98038-5","1-101bogus-98038-9","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1101980362.gif","Optional","$16.25"
,,"Spring 2024  • "," ","MACAT 656 A SPECIAL POPULATIONS • ","Disability Studies Reader (Paperback) 5TH 17","Davis, Lennard J.","5TH 17","Routledge N. Y.","978-1bogus-138-93023-0","1-138bogus-93023-7","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1138930237.gif","Required","$64.25$85.50"
,,"Spring 2024  • "," ","MACAT 656 A SPECIAL POPULATIONS • ","Social Psychology of Disability 2015","Dunn, Dana","2015","Oxford University Press","978-0bogus-19-998569-2","0-19-bogus998569-3","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0199985693.gif","Required","$50.75$67.50"
,,"Spring 2024  • "," ","MACAT 656 A SPECIAL POPULATIONS • ","Art Therapy with Physical Conditions 2015","Liebmann, Marian / Weston, Sally","2015","Jessica Kingsley Publishers","978-1bogus-84905-349-5","1-849bogus05-349-9","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1849053499.gif","Required","$40.50"
,,"Spring 2024  • "," ","MACAT 656 A SPECIAL POPULATIONS • ","About Us 2019","Catapano, Peter","2019","Liveright Publishing Corporation","978-1bogus-63149-585-4","1-631bogus49-585-2","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1631495852.gif","Optional","$19.00"
,,"Spring 2024  • "," ","MACAT 656 A SPECIAL POPULATIONS • ","Nothing About Us Without Us: Disability Oppression and Empowerment 1998","Charlton, James","1998","University of California Press","978-0bogus-520-22481-0","0-520bogus-22481-7","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0520224817.gif","Optional","$20.25$27.00"
,,"Spring 2024  • "," ","MACAT 656 A SPECIAL POPULATIONS • ","Enforcing Normalcy : Disability, Deafness, and the Body 1995","Davis, Lennard J.","1995","Verso Book","978-1bogus-85984-007-8","1-859bogus84-007-8","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1859840078.gif","Optional",""
,,"Spring 2024  • "," ","MACAT 656 A SPECIAL POPULATIONS • ","Golem Girl 2020","Lehrer, Riva","2020","Penguin Random House Llc","978-1bogus-984820-30-3","1-984bogus820-30-3","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1984820303.gif","Optional","$20.25$27.00"
,,"Spring 2024  • "," ","MACAT 656 A SPECIAL POPULATIONS • ","Design Meets Disability 2009","Pullin, Graham","2009","MIT Press","978-0bogus-262-51674-7","0-262bogus-51674-8","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0262516748.gif","Optional","$54.00"
,,"Spring 2024  • "," ","MACAT 656 A SPECIAL POPULATIONS • ","Gendering Disability 2004","Smith, Bonnie G. / Hutchison, Beth","2004","Rutgers University Press","978-0bogus-8135-3373-5","0-813bogus5-3373-2","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0813533732.gif","Optional","$28.50$38.00"
,,"Spring 2024  • "," ","MACAT 656 A SPECIAL POPULATIONS • ","Disabled Village Children : A Guide for Health Workers, Rehabilitation Workers, and Families 2022","Werner, David","2022","Hesperian Foundation","978-0bogus-942364-06-4","0-942bogus364-06-6","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0942364066.gif","Optional","$27.00"
,,"Spring 2024  • "," ","MACAT 656 B SPECIAL POPULATIONS • ","Disability Studies Reader (Paperback) 5TH 17","Davis, Lennard J.","5TH 17","Routledge N. Y.","978-1bogus-138-93023-0","1-138bogus-93023-7","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1138930237.gif","Required","$64.25$85.50"
,,"Spring 2024  • "," ","MACAT 656 B SPECIAL POPULATIONS • ","Social Psychology of Disability 2015","Dunn, Dana","2015","Oxford University Press","978-0bogus-19-998569-2","0-19-bogus998569-3","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0199985693.gif","Required","$50.75$67.50"
,,"Spring 2024  • "," ","MACAT 656 B SPECIAL POPULATIONS • ","Art Therapy with Physical Conditions 2015","Liebmann, Marian / Weston, Sally","2015","Jessica Kingsley Publishers","978-1bogus-84905-349-5","1-849bogus05-349-9","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1849053499.gif","Required","$40.50"
,,"Spring 2024  • "," ","MACAT 656 B SPECIAL POPULATIONS • ","About Us 2019","Catapano, Peter","2019","Liveright Publishing Corporation","978-1bogus-63149-585-4","1-631bogus49-585-2","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1631495852.gif","Optional","$19.00"
,,"Spring 2024  • "," ","MACAT 656 B SPECIAL POPULATIONS • ","Nothing About Us Without Us: Disability Oppression and Empowerment 1998","Charlton, James","1998","University of California Press","978-0bogus-520-22481-0","0-520bogus-22481-7","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0520224817.gif","Optional","$20.25$27.00"
,,"Spring 2024  • "," ","MACAT 656 B SPECIAL POPULATIONS • ","Enforcing Normalcy : Disability, Deafness, and the Body 1995","Davis, Lennard J.","1995","Verso Book","978-1bogus-85984-007-8","1-859bogus84-007-8","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1859840078.gif","Optional",""
,,"Spring 2024  • "," ","MACAT 656 B SPECIAL POPULATIONS • ","Golem Girl 2020","Lehrer, Riva","2020","Penguin Random House Llc","978-1bogus-984820-30-3","1-984bogus820-30-3","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1984820303.gif","Optional","$20.25$27.00"
,,"Spring 2024  • "," ","MACAT 656 B SPECIAL POPULATIONS • ","Design Meets Disability 2009","Pullin, Graham","2009","MIT Press","978-0bogus-262-51674-7","0-262bogus-51674-8","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0262516748.gif","Optional","$54.00"
,,"Spring 2024  • "," ","MACAT 656 B SPECIAL POPULATIONS • ","Gendering Disability 2004","Smith, Bonnie G. / Hutchison, Beth","2004","Rutgers University Press","978-0bogus-8135-3373-5","0-813bogus5-3373-2","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0813533732.gif","Optional","$28.50$38.00"
,,"Spring 2024  • "," ","MACAT 656 B SPECIAL POPULATIONS • ","Disabled Village Children : A Guide for Health Workers, Rehabilitation Workers, and Families 2022","Werner, David","2022","Hesperian Foundation","978-0bogus-942364-06-4","0-942bogus364-06-6","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0942364066.gif","Optional","$27.00"
,,"Spring 2024  • "," ","MACAT 656 C SPECIAL POPULATIONS • ","Disability Studies Reader (Paperback) 5TH 17","Davis, Lennard J.","5TH 17","Routledge N. Y.","978-1bogus-138-93023-0","1-138bogus-93023-7","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1138930237.gif","Required","$64.25$85.50"
,,"Spring 2024  • "," ","MACAT 656 C SPECIAL POPULATIONS • ","Social Psychology of Disability 2015","Dunn, Dana","2015","Oxford University Press","978-0bogus-19-998569-2","0-19-bogus998569-3","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0199985693.gif","Required","$50.75$67.50"
,,"Spring 2024  • "," ","MACAT 656 C SPECIAL POPULATIONS • ","Art Therapy with Physical Conditions 2015","Liebmann, Marian / Weston, Sally","2015","Jessica Kingsley Publishers","978-1bogus-84905-349-5","1-849bogus05-349-9","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1849053499.gif","Required","$40.50"
,,"Spring 2024  • "," ","MACAT 656 C SPECIAL POPULATIONS • ","About Us 2019","Catapano, Peter","2019","Liveright Publishing Corporation","978-1bogus-63149-585-4","1-631bogus49-585-2","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1631495852.gif","Optional","$19.00"
,,"Spring 2024  • "," ","MACAT 656 C SPECIAL POPULATIONS • ","Nothing About Us Without Us: Disability Oppression and Empowerment 1998","Charlton, James","1998","University of California Press","978-0bogus-520-22481-0","0-520bogus-22481-7","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0520224817.gif","Optional","$20.25$27.00"
,,"Spring 2024  • "," ","MACAT 656 C SPECIAL POPULATIONS • ","Enforcing Normalcy : Disability, Deafness, and the Body 1995","Davis, Lennard J.","1995","Verso Book","978-1bogus-85984-007-8","1-859bogus84-007-8","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1859840078.gif","Optional",""
,,"Spring 2024  • "," ","MACAT 656 C SPECIAL POPULATIONS • ","Golem Girl 2020","Lehrer, Riva","2020","Penguin Random House Llc","978-1bogus-984820-30-3","1-984bogus820-30-3","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1984820303.gif","Optional","$20.25$27.00"
,,"Spring 2024  • "," ","MACAT 656 C SPECIAL POPULATIONS • ","Design Meets Disability 2009","Pullin, Graham","2009","MIT Press","978-0bogus-262-51674-7","0-262bogus-51674-8","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0262516748.gif","Optional","$54.00"
,,"Spring 2024  • "," ","MACAT 656 C SPECIAL POPULATIONS • ","Gendering Disability 2004","Smith, Bonnie G. / Hutchison, Beth","2004","Rutgers University Press","978-0bogus-8135-3373-5","0-813bogus5-3373-2","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0813533732.gif","Optional","$28.50$38.00"
,,"Spring 2024  • "," ","MACAT 656 C SPECIAL POPULATIONS • ","Disabled Village Children : A Guide for Health Workers, Rehabilitation Workers, and Families 2022","Werner, David","2022","Hesperian Foundation","978-0bogus-942364-06-4","0-942bogus364-06-6","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0942364066.gif","Optional","$27.00"
